station,history_days,pred_len,model,MAE,RMSE,NMAE,NRMSE,R2
station01,2,16,Iterative,1.6412783861160278,2.9234198907661297,0.08424403053766034,0.1500541752303896,0.7601933479309082
station01,2,96,MultiStep,1.5435587167739868,2.413677098394676,0.07922824596520757,0.1238899439030557,0.836530327796936
station01,2,96,Iterative,2.955625057220459,4.49162700307646,0.1517072116983037,0.23054758145349952,0.4339091181755066
station01,3,1,MultiStep,0.483998566865921,1.0784914250959217,0.024842823979255177,0.055357132171460086,0.9674263596534729
station01,3,1,Iterative,0.4712945222854614,1.0765489862532296,0.02419074695890235,0.055257430086447845,0.9675436019897461
station01,3,16,MultiStep,1.196916103363037,2.021034138983377,0.061435669668049156,0.10373624801401206,0.8855375647544861
station01,3,16,Iterative,1.3562549352645874,2.1913527211878114,0.06961426114533946,0.11247841141647769,0.8654325008392334
station01,3,96,MultiStep,1.5184895992279053,2.3432764210669994,0.07794149076147762,0.12027639676758184,0.8459272384643555
station01,3,96,Iterative,1.888513207435608,3.1840825928370347,0.09693417379026716,0.16343354878398614,0.715522825717926
station01,5,1,MultiStep,0.4765886962413788,1.0635599010870889,0.02446248791167845,0.05459072241720101,0.9684438705444336
station01,5,1,Iterative,0.4893479645252228,1.0767922940987422,0.025117399470884448,0.05526991866470539,0.967653751373291
station01,5,16,MultiStep,1.2733721733093262,2.132720162764814,0.06536002981671765,0.10946890182683579,0.8731105923652649
station01,5,16,Iterative,1.4361419677734375,2.5244372958916355,0.07371472677211514,0.1295750766259523,0.8222184181213379
station01,5,96,MultiStep,1.55399751663208,2.3564737431265126,0.07976405182328798,0.12095379288270887,0.8441869020462036
station01,5,96,Iterative,3.4453327655792236,5.255836149381979,0.17684307620885173,0.26977313831401023,0.22489160299301147
station01,7,1,MultiStep,0.4776770770549774,1.0700538489793756,0.024518352649356732,0.05492404572735706,0.968194842338562
station01,7,1,Iterative,0.48220735788345337,1.0757562904537465,0.024750884265983604,0.05521674235808706,0.967854917049408
station01,7,16,MultiStep,1.1062848567962646,1.9228820023420652,0.05678372179130569,0.09869826562997867,0.8972864747047424
station01,7,16,Iterative,1.3525174856185913,2.4610321511125806,0.06942242420605255,0.12632059828870218,0.8317493200302124
station01,7,96,MultiStep,1.623219609260559,2.4561292390524208,0.0833171042089191,0.12606894014416462,0.8307294845581055
station01,7,96,Iterative,2.5577850341796875,3.722871564020164,0.13128675936452092,0.19108867111159925,0.6111027002334595
station02,1,1,MultiStep,0.4128202795982361,0.9294845295378386,0.02721937936887157,0.06128572959547902,0.9577188491821289
station02,1,1,Iterative,0.4007110595703125,0.9260080116143732,0.026420955768844054,0.06105650476104603,0.9580345153808594
station02,1,16,MultiStep,0.8836848139762878,1.5957132103366647,0.058265917114199,0.10521363746554475,0.8760398030281067
station02,1,16,Iterative,1.0523196458816528,1.8393677178671974,0.06938488507988426,0.12127904123365334,0.8352938890457153
station02,1,96,MultiStep,1.0873807668685913,1.8704020390314258,0.07169664639686743,0.12332529478022485,0.8296595215797424
station02,1,96,Iterative,1.0321168899536133,1.8027014434881468,0.06805281273489867,0.11886144383912171,0.8417675495147705
station02,2,1,MultiStep,0.3902612626552582,0.9103128519525708,0.025731946530161916,0.060021641586433146,0.9594895839691162
station02,2,1,Iterative,0.4024796783924103,0.9187783425040117,0.026537569968913044,0.0605798152282114,0.9587326049804688
station02,2,16,MultiStep,0.977022647857666,1.7055115383790123,0.06442016397522651,0.11245320996901058,0.8576180934906006
station02,2,16,Iterative,1.0995092391967773,1.9490904374021765,0.07249633940077471,0.12851362847658987,0.8140442371368408
station02,2,96,MultiStep,1.180540680885315,1.963049674351507,0.07783916207962531,0.1294340332750014,0.8123664855957031
station02,2,96,Iterative,0.9776432514190674,1.7012006755015783,0.06446108358264478,0.11216897245000532,0.85908442735672
station02,3,1,MultiStep,0.41131991147994995,0.9278367477953974,0.02712045232719538,0.06117708280998617,0.9579785466194153
station02,3,1,Iterative,0.4084776043891907,0.9115217386625916,0.026933044298061,0.060101349749041015,0.9594433903694153
station02,3,16,MultiStep,0.8837904930114746,1.5961601882080283,0.0582728850803873,0.10524310903186891,0.8755682706832886
station02,3,16,Iterative,0.9943050742149353,1.7667842873819226,0.06555968386482815,0.11649323969261574,0.8475437164306641
station02,3,96,MultiStep,1.182518482208252,1.9455860359268,0.07796956876550244,0.1282825651351476,0.8156900405883789
station02,3,96,Iterative,1.204179286956787,1.9276714836459283,0.07939777782165452,0.127101365909104,0.8190686106681824
station02,5,1,MultiStep,0.4176256060600281,0.9382405852717816,0.02753621943322618,0.06186306170481514,0.9571500420570374
station02,5,1,Iterative,0.3982769548892975,0.9198491418031518,0.02626046263899933,0.060650418572551906,0.958813488483429
station02,5,16,MultiStep,0.8718441128730774,1.592455543963511,0.05748519835775766,0.10499884264743557,0.8765245079994202
station02,5,16,Iterative,1.056251883506775,1.8476072792838105,0.06964415787479374,0.12182231819730004,0.8337868452072144
station02,5,96,MultiStep,1.1851752996444702,1.9542649871341282,0.07814474650090981,0.1288548133436564,0.8137579560279846
station02,5,96,Iterative,1.059004545211792,1.8047558660067073,0.06982565511929913,0.11899690255731035,0.8411644101142883
station02,7,1,MultiStep,0.4079173505306244,0.9230097559416401,0.026896103859151286,0.060858814234116446,0.9585427045822144
station02,7,1,Iterative,0.4185972213745117,0.9306836601507552,0.027600283063703043,0.06136479448806998,0.9578505158424377
station02,7,16,MultiStep,0.9320251941680908,1.6683009797248234,0.061453248774738366,0.10999972509292423,0.8645631074905396
station02,7,16,Iterative,1.210719347000122,2.2202788981956085,0.07982899785664889,0.14639448840425784,0.7601149678230286
station02,7,96,MultiStep,1.0894286632537842,1.86005011091102,0.07183167481327894,0.12264273853811668,0.8312824964523315
station02,7,96,Iterative,1.078202486038208,1.8584216582971895,0.07109147479987278,0.12253536622219456,0.8315777778625488
station03,1,1,MultiStep,0.5246945023536682,1.1162398794298498,0.03270938508750611,0.06958624476246542,0.9482664465904236
station03,1,1,Iterative,0.4935419261455536,1.0429764650895301,0.030767337654022113,0.06501901331305383,0.9548345804214478
station03,1,16,MultiStep,1.1587671041488647,1.9844183128616135,0.07223738626251404,0.12370837216498595,0.8364020586013794
station03,1,16,Iterative,1.0923256874084473,1.937325931236074,0.06809543723089084,0.12077263939407293,0.8440746068954468
station03,1,96,MultiStep,1.1812776327133179,1.9816805350692905,0.07364068960195269,0.12353769946364945,0.8363404870033264
station03,1,96,Iterative,1.1060069799423218,1.9840362139480838,0.06894832717728423,0.1236845521698305,0.8359511494636536
station03,2,1,MultiStep,0.4998795688152313,1.069744321276272,0.03116242545025324,0.06668771788695645,0.9526979327201843
station03,2,1,Iterative,0.48392733931541443,1.0395503798914503,0.030167965597189875,0.06480543162011843,0.955330491065979
station03,2,16,MultiStep,1.16537344455719,1.9609858898256292,0.07264922463982833,0.12224759804751534,0.8409957885742188
